engine,threads,warehouses,repetitions,median_txn_per_sec,min_txn_per_sec,max_txn_per_sec,median_abort_percent,median_rust_percent_of_cpp
cpp,1,1,3,86155.911898,85793.617969,88394.450398,0.000000,26.957358
rust,1,1,3,23212.928783,23127.693141,24681.202100,0.000000,26.957358
cpp,4,4,3,336577.324744,336393.773573,337802.778414,0.015157,21.458090
rust,4,4,3,72486.022677,72176.164661,72839.136316,0.013613,21.458090
cpp,8,8,3,668871.478518,668715.678773,669836.965454,0.014893,15.166942
rust,8,8,3,101423.722170,101182.240483,102457.528713,0.014946,15.166942
cpp,16,16,3,1292745.566896,1285339.502524,1297676.372728,0.015902,8.824192
rust,16,16,3,114509.460956,111681.635964,116850.284977,0.017937,8.824192
