procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 366820524 1628724 135321224    0    0     0    68 7887 7359  3  0 97  0  0  0
17  0      0 366823676 1628732 135322272    0    0     0    12 9327 4265  5  0 95  0  0  0
17  0      0 366826508 1628736 135322268    0    0     0    18 20163 5970 13  0 87  0  0  0
16  0      0 366846720 1628736 135322296    0    0     0     6 19461 4970 12  0 88  0  0  0
 2  0      0 366852740 1628740 135322296    0    0     0    35 8710 4874  4  0 96  0  0  0
 2  0      0 366847124 1628740 135322324    0    0     0   158 5297 4857  2  0 98  0  0  0
 8  0      0 366844900 1628740 135322324    0    0     0    14 7141 4844  3  0 97  0  0  0
 8  0      0 366844600 1628740 135322344    0    0     0    13 11565 5007  6  0 94  0  0  0
 8  0      0 366850228 1628748 135322336    0    0     0    15 11548 4796  6  0 94  0  0  0
 2  0      0 366848504 1628748 135322364    0    0     0     7 4275 4878  1  0 99  0  0  0
 3  0      0 366938948 1628748 135322484    0    0     0    12 4828 6095  1  0 99  0  0  0
 5  0      0 366811252 1628764 135322564    0    0     0   277 7926 6523  2  0 98  0  0  0
 5  0      0 366816832 1628764 135322568    0    0     0    66 7349 4790  3  0 97  0  0  0
17  0      0 366818180 1628764 135324228    0    0     0    26 8093 5337  3  0 97  0  0  0
17  0      0 366817100 1628764 135324232    0    0     0   210 19382 4797 13  0 87  0  0  0
17  0      0 366824420 1628764 135324260    0    0     0     6 18916 5364 12  0 88  0  0  0
 9  0      0 366827680 1628768 135324264    0    0     0    14 14383 4901  9  0 91  0  0  0
10  0      0 366827496 1628776 135324288    0    0     0    24 11470 5121  6  0 94  0  0  0
10  0      0 366826264 1628780 135324292    0    0     0    26 11760 6352  6  0 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  0      0 366829280 1628784 135324320    0    0     0    18 12069 5745  6  0 94  0  0  0
 9  0      0 366837864 1628788 135324320    0    0     0     9 11191 4836  6  0 94  0  0  0
33  0      0 366837364 1628788 135324348    0    0     0    16 27983 5323 19  0 81  0  0  0
33  0      0 366828044 1628788 135324420    0    0     0    10 35372 5172 25  0 75  0  0  0
 3  0      0 366917748 1628792 135324420    0    0     0   338 29927 6678 19  0 81  0  0  0
 3  0      0 366794820 1628800 135324448    0    0     0   210 7349 5976  2  0 98  0  0  0
 3  0      0 366817864 1628808 135325496    0    0     0    16 5529 5101  2  0 98  0  0  0
 3  0      0 366829536 1628808 135325500    0    0     0    10 3610 4738  1  0 99  0  0  0
 2  0      0 366832412 1628808 135325560    0    0     0     9 3390 4758  1  0 99  0  0  0
