threads,repetition,old_rust_txn_s,new_rust_txn_s,rust_change_percent,old_cpp_txn_s,new_cpp_txn_s,cpp_change_percent,normalized_rust_change_percent,old_rust_started_at_utc,new_rust_started_at_utc
1,0,58121.335260912776,57809.82847194234,-0.5359594502983289,41383.31324250163,40685.05855873524,-1.6872855966720057,1.1710857068296887,2026-09-09T08:54:14.798910+00:00,2026-09-09T08:55:18.715125+00:00
1,1,58202.46115302674,57709.367304230625,-0.8472044635701392,40812.72356114672,40592.12519684828,-0.5405137051633702,-0.30835747280819614,2026-09-09T08:59:34.785455+00:00,2026-09-09T08:58:30.788381+00:00
1,2,58122.06058976747,57906.59018430029,-0.37072052036832837,40790.15501839383,40522.476400859035,-0.656233391155514,0.2873988781916914,2026-09-09T09:11:18.727798+00:00,2026-09-09T09:12:22.679665+00:00
16,0,831100.7776550318,803519.8281059139,-3.3186047096403937,660900.1193575532,650147.1087171611,-1.6270250716318269,-1.7195572658449287,2026-09-09T08:48:57.300312+00:00,2026-09-09T08:45:45.219422+00:00
16,1,842308.2804321821,840474.7150398986,-0.21768341056112028,657519.1605769169,653218.382191715,-0.6540917197649931,0.4392816138666156,2026-09-09T09:02:46.788364+00:00,2026-09-09T09:06:01.233920+00:00
16,2,846849.9056884594,838432.8181739568,-0.9939290844768744,660802.6734981873,653921.1580777693,-1.0413873454821698,0.04795768628140795,2026-09-09T09:18:46.850466+00:00,2026-09-09T09:15:37.433368+00:00
